Date,Name,Year,Letterboxd URI,Rating
2018-06-04,The Untouchables,1987,https://boxd.it/2b6i,3
2018-06-08,Ocean's Eight,2018,https://boxd.it/eaai,5
2018-06-19,Set It Up,2018,https://boxd.it/dpik,4
2018-06-25,Morning Glory,2010,https://boxd.it/16as,3
2018-06-30,Incredibles 2,2018,https://boxd.it/7IPg,3.5
2018-07-03,"Legally Blonde 2: Red, White & Blonde",2003,https://boxd.it/1Wxe,2.5
2018-07-24,Perfect Strangers,2017,https://boxd.it/fru2,4
2018-07-26,The Night My Mother Killed My Father,2016,https://boxd.it/cJG0,3
2018-08-07,Mamma Mia! Here We Go Again,2018,https://boxd.it/gnfO,5
2018-08-21,To All the Boys I've Loved Before,2018,https://boxd.it/gHec,2.5
2018-09-07,The Mirror Has Two Faces,1996,https://boxd.it/1we6,4
2018-09-10,The Rewrite,2014,https://boxd.it/934i,2.5
2018-09-15,Destination Wedding,2018,https://boxd.it/hE1Q,2.5
2018-09-19,The Laws of Thermodynamics,2018,https://boxd.it/fwmM,4.5
2018-10-07,Off Course,2015,https://boxd.it/7TdW,4
2018-10-13,Serial (Bad) Weddings,2014,https://boxd.it/7Nw4,3
2018-10-15,Catch and Release,2006,https://boxd.it/1PFK,3
2018-10-15,It's Complicated,2009,https://boxd.it/1zUY,4
2018-10-21,What We Did on Our Holiday,2014,https://boxd.it/8qLs,4
2018-10-29,Burn After Reading,2008,https://boxd.it/23BW,2
2018-11-04,A Star Is Born,2018,https://boxd.it/aXgc,4
2018-11-10,Scent of a Woman,1992,https://boxd.it/1YAu,4
2018-11-10,Focus,2015,https://boxd.it/7zl2,3.5
2018-11-16,Crazy Rich Asians,2018,https://boxd.it/gfnK,4.5
2018-11-22,Die Hard,1988,https://boxd.it/2a7u,3
2018-12-01,The Princess Switch,2018,https://boxd.it/knTs,2
2018-12-13,Sense and Sensibility,1995,https://boxd.it/244E,2.5
2018-12-21,Bad Times at the El Royale,2018,https://boxd.it/fSA2,3
2018-12-22,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,2.5
2018-12-23,American Animals,2018,https://boxd.it/hE4K,4
2018-12-25,Sleepless in Seattle,1993,https://boxd.it/29re,3.5
2018-12-26,Full Metal Jacket,1987,https://boxd.it/2a1Q,4
2018-12-27,It Could Happen to You,1994,https://boxd.it/1VHC,4
2018-12-27,The Princess Diaries 2: Royal Engagement,2004,https://boxd.it/1UyY,4
2018-12-29,Ant-Man,2015,https://boxd.it/3vmW,4.5
2018-12-29,Ant-Man and the Wasp,2018,https://boxd.it/cqUW,4.5
2019-01-01,Barry Lyndon,1975,https://boxd.it/25A2,3.5
2019-01-02,Black Mirror: Bandersnatch,2018,https://boxd.it/kTDG,0.5
2019-01-03,Ibiza,2018,https://boxd.it/gz8A,3.5
2019-01-03,Love on the Slopes,2018,https://boxd.it/hNIY,3.5
2019-01-04,Speed,1994,https://boxd.it/28qk,3
2019-01-04,Superbad,2007,https://boxd.it/20hO,3.5
2019-01-05,The Big Sick,2017,https://boxd.it/eHvy,4.5
2019-01-08,Murder on the Orient Express,2017,https://boxd.it/dHjA,3
2019-01-08,Grease,1978,https://boxd.it/29YW,3
2019-01-09,BlacKkKlansman,2018,https://boxd.it/hxL8,4
2019-01-22,Aquaman,2018,https://boxd.it/9ru0,3
2019-01-23,How Do You Know,2010,https://boxd.it/VMK,3
2019-01-25,Miss Sloane,2016,https://boxd.it/d4QA,5
2019-01-29,The Favourite,2018,https://boxd.it/d2hI,3
2019-01-30,The Wife,2017,https://boxd.it/bkzG,4
2019-02-01,Ghosts of Girlfriends Past,2009,https://boxd.it/1RIm,2
2019-02-06,King Arthur: Legend of the Sword,2017,https://boxd.it/8lDS,0.5
2019-02-07,Velvet Buzzsaw,2019,https://boxd.it/gAy0,2
2019-02-08,Tully,2018,https://boxd.it/e4kc,3
2019-02-09,The Edge of Seventeen,2016,https://boxd.it/d5nu,4.5
2019-02-12,Fried Green Tomatoes,1991,https://boxd.it/28qY,5
